team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playoffGame,win,shot_diff,penalty_diff,xgoal_diff,shotAttempt_diff,faceOff_diff
COL,2022,COL,2022020073,COL,SEA,HOME,20221021,Team Level,all,0.364,0.47,0.4156,3600.0,21.986,1.89,1.687,5.178,0.782,13.045,9.419,1.87,1.796,1.778,20.0,12.0,15.0,47.0,2.0,2.0,0.0,2.0,0.0,9.0,17.0,18.0,30.0,6.0,15.0,36.0,37.0,12.0,7.0,23.0,9.0,0.0,0.819,1.071,0.0,1.0,1.0,0.0,44.551,32.0,30.397,3.0,0.359,0.318,0.318,1.931,1.834,1.828,32.764,3.303,2.403,8.079,1.236,17.414,12.565,3.16,3.521,3.367,38.0,7.0,8.0,53.0,3.0,3.0,1.0,10.0,0.0,12.0,17.0,35.0,42.0,3.0,9.0,21.0,17.0,6.0,5.0,33.0,7.0,5.0,0.801,0.851,1.651,0.0,1.0,2.0,56.348,45.0,47.739,1.0,0.524,0.68,0.68,3.147,3.344,3.264,0,0,-18.0,3.0,-1.413,-6.0,15.0
COL,2022,COL,2022020086,COL,VGK,AWAY,20221022,Team Level,all,0.4807,0.5156,0.4588,3600.0,26.953,2.768,1.565,6.473,0.884,15.324,11.987,2.764,2.883,2.878,25.0,14.0,27.0,66.0,3.0,0.0,0.0,4.0,0.0,13.0,19.0,22.0,36.0,4.0,8.0,22.0,38.0,12.0,8.0,32.0,4.0,3.0,0.85,0.479,1.439,0.0,1.0,2.0,70.431,39.0,41.73,4.0,0.339,0.0,0.0,3.107,3.245,3.238,32.365,2.99,2.275,8.061,1.131,18.586,12.956,2.897,2.83,2.739,35.0,11.0,16.0,62.0,2.0,1.0,0.0,5.0,1.0,17.0,20.0,33.0,44.0,2.0,4.0,34.0,41.0,4.0,7.0,33.0,9.0,4.0,0.855,1.165,0.97,0.0,1.0,1.0,58.288,46.0,43.235,3.0,0.496,0.271,0.271,3.215,3.051,2.953,0,1,-10.0,2.0,-0.22200000000000042,4.0,-12.0
COL,2022,COL,2022020123,COL,NJD,AWAY,20221028,Team Level,all,0.4083,0.5,0.5,3600.0,24.891,1.467,1.615,5.635,0.853,14.056,10.373,1.446,1.498,1.476,24.0,10.0,17.0,51.0,0.0,2.0,0.0,4.0,1.0,11.0,16.0,24.0,34.0,3.0,6.0,14.0,17.0,8.0,0.0,28.0,6.0,0.0,0.661,0.806,0.0,0.0,0.0,0.0,51.397,34.0,34.106,0.0,0.363,0.224,0.224,1.607,1.641,1.622,25.424,2.126,1.535,5.851,0.821,13.815,9.852,2.103,2.07,2.047,23.0,11.0,17.0,51.0,1.0,0.0,0.0,2.0,1.0,16.0,14.0,22.0,33.0,6.0,12.0,34.0,11.0,14.0,4.0,22.0,10.0,2.0,0.615,1.065,0.446,0.0,1.0,0.0,50.352,34.0,33.742,1.0,0.321,0.0,0.0,2.448,2.382,2.355,0,0,1.0,-3.0,-0.6589999999999998,0.0,-20.0
COL,2022,COL,2022020135,COL,NYI,AWAY,20221029,Team Level,all,0.3555,0.4882,0.4608,3600.0,32.17,3.115,2.419,7.342,1.15,19.464,13.509,3.09,3.29,3.262,37.0,10.0,15.0,62.0,4.0,1.0,1.0,6.0,1.0,12.0,23.0,33.0,43.0,3.0,6.0,32.0,21.0,8.0,3.0,32.0,11.0,4.0,0.584,1.276,1.254,0.0,2.0,2.0,66.166,47.0,50.447,3.0,0.544,0.134,0.134,3.525,3.713,3.693,41.005,5.648,3.497,10.248,1.554,20.167,13.886,4.672,5.265,4.371,44.0,11.0,10.0,65.0,5.0,14.0,1.0,8.0,1.0,11.0,16.0,39.0,50.0,2.0,4.0,24.0,26.0,5.0,8.0,35.0,7.0,13.0,1.15,0.829,3.669,3.0,0.0,2.0,60.401,55.0,51.287,2.0,0.77,3.146,3.146,3.272,3.101,2.877,0,0,-7.0,1.0,-2.5329999999999995,-3.0,8.0
COL,2022,COL,2022020175,COL,CBJ,HOME,20221104,Team Level,all,0.4321,0.4677,0.4839,3600.0,31.722,2.957,2.152,7.155,1.057,18.651,13.028,2.922,2.968,2.933,36.0,9.0,13.0,58.0,6.0,0.0,0.0,11.0,1.0,17.0,10.0,30.0,39.0,5.0,12.0,29.0,5.0,4.0,1.0,34.0,9.0,2.0,1.181,1.082,0.694,3.0,2.0,1.0,59.856,45.0,46.251,0.0,0.463,0.0,0.0,3.421,3.434,3.39,35.285,3.887,2.478,7.842,1.251,20.028,12.515,3.315,3.884,3.312,39.0,9.0,18.0,66.0,3.0,5.0,0.0,8.0,0.0,20.0,12.0,36.0,45.0,5.0,10.0,52.0,18.0,4.0,2.0,39.0,5.0,4.0,1.144,0.723,2.02,1.0,1.0,1.0,64.628,48.0,47.267,1.0,0.64,1.127,1.127,3.4,3.396,3.273,0,1,-3.0,0.0,-0.9300000000000002,-8.0,-23.0
COL,2022,COL,2022020185,COL,CBJ,AWAY,20221105,Team Level,all,0.6149,0.5984,0.5957,3600.0,41.146,3.622,2.571,9.342,1.32,22.249,16.896,3.526,4.04,3.933,45.0,11.0,20.0,76.0,5.0,3.0,0.0,10.0,1.0,19.0,18.0,40.0,51.0,2.0,7.0,37.0,10.0,3.0,2.0,39.0,14.0,3.0,1.02,1.79,0.812,2.0,3.0,0.0,87.492,56.0,62.765,1.0,0.537,0.782,0.782,3.377,3.774,3.719,27.087,2.268,1.97,6.505,1.032,15.135,11.09,2.035,2.088,1.875,32.0,6.0,13.0,51.0,1.0,4.0,0.0,5.0,2.0,15.0,11.0,31.0,37.0,2.0,7.0,28.0,13.0,1.0,2.0,30.0,6.0,2.0,0.814,0.727,0.726,0.0,1.0,0.0,45.28,38.0,34.619,1.0,0.422,0.916,0.916,1.774,1.646,1.587,0,1,13.0,0.0,1.354,25.0,9.0
COL,2022,COL,2022020219,COL,NSH,HOME,20221110,Team Level,all,0.5774,0.4919,0.5385,3600.0,34.929,3.667,2.495,7.894,1.182,19.999,13.763,3.427,3.622,3.385,35.0,14.0,12.0,61.0,5.0,3.0,0.0,7.0,3.0,14.0,17.0,30.0,44.0,2.0,4.0,31.0,23.0,9.0,8.0,34.0,10.0,5.0,1.144,1.18,1.343,1.0,2.0,2.0,62.449,49.0,49.208,6.0,0.543,0.655,0.655,3.554,3.526,3.298,29.174,2.684,2.036,6.702,0.975,17.574,12.028,2.622,2.716,2.653,35.0,7.0,21.0,63.0,3.0,2.0,0.0,8.0,1.0,17.0,11.0,32.0,39.0,3.0,6.0,38.0,32.0,4.0,3.0,34.0,5.0,3.0,0.902,0.702,1.08,2.0,0.0,1.0,62.397,42.0,42.414,1.0,0.476,0.243,0.243,2.917,2.961,2.892,0,1,0.0,-1.0,0.9829999999999997,-2.0,-7.0
COL,2022,COL,2022020233,COL,CAR,HOME,20221112,Team Level,all,0.6158,0.4149,0.4648,3600.0,24.176,3.111,1.877,4.797,0.883,13.26,9.072,3.009,3.121,3.018,28.0,5.0,6.0,39.0,4.0,2.0,1.0,3.0,0.0,11.0,13.0,24.0,29.0,5.0,10.0,19.0,13.0,5.0,6.0,19.0,11.0,3.0,0.901,1.182,1.028,2.0,1.0,1.0,39.676,33.0,33.511,4.0,0.427,0.314,0.314,3.225,3.233,3.179,25.418,1.941,1.876,6.154,0.892,15.752,11.385,1.815,1.94,1.815,25.0,13.0,17.0,55.0,1.0,4.0,0.0,11.0,2.0,7.0,13.0,24.0,37.0,4.0,8.0,31.0,11.0,6.0,4.0,32.0,6.0,0.0,1.038,0.904,0.0,0.0,1.0,0.0,53.279,38.0,37.11,1.0,0.394,0.387,0.387,1.948,1.954,1.848,0,1,3.0,1.0,1.1700000000000002,-16.0,-12.0
COL,2022,COL,2022020247,COL,STL,HOME,20221114,Team Level,all,0.5146,0.5929,0.5763,3600.0,47.157,3.531,3.109,11.634,1.62,29.307,18.8,3.375,3.392,3.237,47.0,21.0,15.0,83.0,2.0,4.0,0.0,14.0,2.0,23.0,23.0,45.0,66.0,2.0,4.0,30.0,17.0,7.0,4.0,55.0,11.0,2.0,1.585,1.336,0.609,2.0,0.0,0.0,79.484,68.0,65.247,1.0,0.693,0.646,0.646,3.578,3.441,3.263,37.41,3.331,2.505,7.721,1.16,19.77,15.513,3.26,3.487,3.412,39.0,11.0,7.0,57.0,3.0,3.0,0.0,10.0,1.0,12.0,21.0,36.0,47.0,5.0,10.0,32.0,16.0,4.0,6.0,39.0,9.0,2.0,1.109,1.222,1.0,1.0,1.0,1.0,59.56,50.0,52.251,4.0,0.533,0.582,0.582,3.282,3.434,3.388,0,0,8.0,-3.0,0.20000000000000018,26.0,-2.0
COL,2022,COL,2022020261,COL,CAR,AWAY,20221117,Team Level,all,0.2687,0.2719,0.2527,3715.0,17.209,1.763,1.251,3.571,0.489,9.018,6.908,1.75,1.863,1.849,15.0,8.0,8.0,31.0,3.0,1.0,0.0,3.0,1.0,7.0,8.0,12.0,20.0,5.0,10.0,20.0,28.0,7.0,4.0,15.0,7.0,1.0,0.381,0.923,0.46,0.0,2.0,1.0,32.911,23.0,24.567,3.0,0.28,0.181,0.181,1.862,1.962,1.949,48.419,4.798,3.722,11.669,1.65,27.869,18.293,4.534,4.645,4.384,48.0,20.0,15.0,83.0,2.0,7.0,1.0,15.0,1.0,27.0,16.0,46.0,66.0,4.0,8.0,43.0,18.0,20.0,10.0,52.0,11.0,5.0,1.77,1.272,1.757,1.0,0.0,1.0,79.455,68.0,65.311,4.0,0.819,1.866,1.866,3.751,3.605,3.424,0,1,-33.0,1.0,-3.035,-52.0,-23.0
